type,number,mass,radius,vdwradius,KedgeCoreLevelWidth,KedgeEnergyLevel,MaxbondNumber
Ma,0,0,,,,,
H,1,1.00795,0.53,1.08,,13.6,1
He,2,4.0026,0.31,1.4,,24.6,0
Li,3,6.941,1.67,2.14,,54.8,0
Be,4,9.0122,1.12,1.69,,111,6
B,5,10.811,0.87,1.68,,188,5
C,6,12.0107,0.67,1.53,,283.8,4
N,7,14.0067,0.56,1.51,,401.6,4
O,8,15.9994,0.48,1.49,,532,4
F,9,18.9984,0.42,1.48,,685.4,1
Ne,10,20.1797,0.38,1.54,0.24,866.9,0
Na,11,22.9898,1.9,2.38,0.3,1072.1,0
Mg,12,24.305,1.45,2,0.36,1305,6
Al,13,26.9815,1.18,1.92,0.42,1559.6,6
Si,14,28.0855,1.11,1.93,0.48,1838.9,6
P,15,30.9738,0.98,1.88,0.53,2145.5,6
S,16,32.065,0.88,1.81,0.59,2472,4
Cl,17,35.453,0.79,1.75,0.64,2822.4,1
Ar,18,39.948,0.71,1.63,0.68,3202.9,0
K,19,39.0983,2.43,2.52,0.74,3607.4,0
Ca,20,40.078,1.94,2.27,0.81,4038.1,0
Sc,21,44.9559,1.84,2.15,0.86,4492.8,6
Ti,22,47.867,1.76,2.11,0.94,4966.4,6
V,23,50.9415,1.71,2.07,1.01,5465.1,6
Cr,24,51.9961,1.66,2.06,1.08,5989.2,6
Mn,25,54.938,1.61,2.05,1.16,6539,6
Fe,26,55.845,1.56,2.04,1.25,7112,6
Co,27,58.9332,1.52,2,1.33,7708.9,6
Ni,28,58.6934,1.49,1.97,1.44,8332.8,6
Cu,29,63.546,1.45,1.96,1.55,8978.9,6
Zn,30,65.38,1.42,2.01,1.67,9658.6,4
Ga,31,69.723,1.36,2.03,1.82,10367.1,6
Ge,32,72.64,1.25,2.05,1.96,11103.1,4
As,33,74.9216,1.14,2.08,2.14,11866.7,4
Se,34,78.971,1.03,1.92,2.33,12657.8,4
Br,35,79.904,0.94,1.9,2.52,13473.7,1
Kr,36,83.798,0.88,1.84,2.75,14325.6,0
Rb,37,85.4678,2.65,2.61,2.99,15199.7,0
Sr,38,87.62,2.19,2.42,3.25,16104.6,6
Y,39,88.9058,2.12,2.32,3.52,17038.4,6
Zr,40,91.224,2.06,2.23,3.84,17997.6,6
Nb,41,92.9064,1.98,2.18,4.14,18985.6,6
Mo,42,95.95,1.9,2.17,4.52,19999.5,6
Tc,43,98.9072,1.83,2.16,4.91,21044,6
Ru,44,101.07,1.78,2.13,5.33,22117.2,6
Rh,45,102.9055,1.73,2.1,5.77,23219.9,6
Pd,46,106.42,1.69,2.1,6.24,24350.3,6
Ag,47,107.8682,1.65,2.11,6.75,25514,6
Cd,48,112.414,1.61,2.18,7.28,26711.2,6
In,49,114.818,1.56,2.21,7.91,27939.9,6
Sn,50,118.71,1.45,2.23,8.49,29200.1,6
Sb,51,121.76,1.33,2.24,9.16,30491.2,4
Te,52,127.6,1.23,2.21,9.89,31813.8,4
I,53,126.9045,1.15,2.09,10.6,33169.4,1
Xe,54,131.293,1.08,2.16,11.4,34561.4,0
Cs,55,132.9055,2.98,2.75,12.3,35984.6,
Ba,56,137.327,2.53,2.59,13.2,37440.6,
La,57,138.9055,1.95,2.43,14.1,38924.6,
Ce,58,140.116,1.85,2.42,15.1,40443,
Pr,59,140.9077,2.47,2.4,16.2,41990.6,
Nd,60,144.242,2.06,2.39,17.3,43568.9,
Pm,61,144.9,2.05,2.38,18.5,45184,
Sm,62,150.36,2.38,2.36,19.7,46834.2,
Eu,63,151.964,2.31,2.35,21,48519,
Gd,64,157.25,2.33,2.34,22.3,50239.1,
Tb,65,158.9254,2.25,2.33,23.8,51995.7,
Dy,66,162.5,2.28,2.31,25.2,53788.5,
Ho,67,164.9303,2.26,2.3,26.8,55617.7,
Er,68,167.259,2.26,2.29,28.4,57485.5,
Tm,69,168.9342,2.22,2.27,30.1,59389.6,
Yb,70,173.054,2.22,2.26,31.9,61332.3,
Lu,71,174.9668,2.17,2.24,33.7,63313.8,
Hf,72,178.49,2.08,2.23,35.7,65350.8,
Ta,73,180.9479,2,2.22,37.7,67416.4,
W,74,183.84,1.93,2.18,39.9,69525,
Re,75,186.207,1.88,2.16,42.1,71676.4,
Os,76,190.23,1.85,2.13,44.4,73870.8,
Ir,77,192.217,1.8,2.13,46.8,76111,
Pt,78,195.084,1.77,2.13,49.3,78394.8,
Au,79,196.9666,1.74,2.14,52,80724.9,
Hg,80,200.59,1.71,2.23,54.6,83102.3,
Tl,81,204.3833,1.56,2.27,57.4,85530.4,
Pb,82,207.2,1.54,2.37,60.4,88004.5,
Bi,83,208.9804,1.43,2.38,63.4,90525.9,
Po,84,208.982,1.35,,66.6,93105,
At,85,209.987,1.27,,69.8,95729.9,
Rn,86,222.018,1.2,,73.3,98404,
Fr,87,223.02,,,76.8,101137,
Ra,88,226.025,,,80.4,103921.9,
Ac,89,227.028,,,84.1,106755.3,
Th,90,232.038,1.8,2.45,88,109650.9,
Pa,91,231.036,1.8,2.43,91.9,112601.4,
U,92,238.029,1.75,2.41,96.1,115606.1,
